dateActivity,productId,cost,userId
2018-12-08,goldenspin,0.198,1rfldfj4r8w43p8
2018-12-09,specialpack9_0,1.998,bod01b3bks9nn37
2018-12-13,goldenspin,0.198,hlbfqujs0djfgud
2018-12-13,specialpack,0.198,gr6wbemugzv563a
2018-12-11,specialpack1_0,0.398,l3xl5x2w9vcl410
2018-12-11,specialpack1_0,0.398,onamenrwssoufbp
2018-12-12,specialpack1_0,0.398,6jmm1p8z4gckpje
2018-12-07,specialpack2_0,0.998,lu9fpaxstb4u04t
2018-12-11,specialpack5_0,1.598,e48hnogw8e6w6tq
2018-12-13,coinpack004,3.998,iicic0vp177m4cy
2018-12-13,specialpack1_0,0.398,4ebc529kbilkj99
2018-12-08,goldenspin,0.198,8qqhk0awuiudhr6
2018-12-07,coinpack001,0.398,benfn5r5wln039s
2018-12-08,coinpack001,0.398,hjvnj4kqyoj1j0f
2018-12-10,goldenspin,0.198,39ngtntxrsyczcj
2018-12-12,specialpack1_0,0.398,vvtvwgg1f8xne4h
2018-12-10,specialpack1_3,0.798,7m2mevqazphbube
2018-12-13,specialpack1_3,0.798,3idg8kf6457t476
2018-12-08,poolcash001,0.398,slap8d3c3in9lya
2018-12-10,coinpack001,0.398,0zopt4te3y1tvax
2018-12-08,specialpack1_0,0.398,986lnu7ah5q0rde
2018-12-12,goldenspin,0.198,0knq8ko0pfxio65
2018-12-10,goldenspin,0.198,xln61thg18lepdf
2018-12-11,goldenspin,0.198,clg4b8gq9e6rkub
2018-12-13,goldenspin,0.198,wcg9sdn3ciw84m2
2018-12-09,specialpack1_3,0.798,m21orkr9vo4my20
2018-12-09,specialpack2_0,0.998,4t0yb5kde4u3je0
2018-12-08,coinpack002,0.998,ntrpgx0t8a4qhyd
2018-12-09,specialpack1_3,0.798,fxeuj434hrr0308
2018-12-13,goldenspin,0.198,gwlpk5izdahki24
2018-12-07,specialpack4_0,1.398,t9fotpu478mm0av
2018-12-13,specialpack1_3,0.798,y8i8fnwwd6sse6x
2018-12-08,poolcash003,1.998,7cu6krgvf9nkclt
2018-12-07,specialpack1_0,0.398,0gdft45sfkfh5sy
2018-12-07,coinpack001,0.398,zrsekkerkpd82nr
